--- ATL ---
Day'Ron Sharpe (sharpda01) | curr_mins, 8.2 | prev_mins, mean: 11.71875, std: 8.109540581161179 | 2fga, mean: 4.4375, std: 3.5963305952039506 | 3fga, mean: 0.21875, std: 0.4831132760543846 | fta, mean: 1.28125, std: 1.5048748909793133 | 2fgp: (14, 10) | 3fgp: (3, 6) | ftp: (18, 13) | ast, mean: 0.53125, std: 0.8654614015078893 | reb, mean: 5.0, std: 3.5794552658190883 | stl, mean: 0.3125, std: 0.582961190818051 | blk, mean: 0.46875, std: 0.6606992034958117
David Duke Jr. (dukeda01) | curr_mins, 8.7 | prev_mins, mean: 15.045454545454545, std: 10.746996505270555 | 2fga, mean: 3.227272727272727, std: 3.1756433590379216 | 3fga, mean: 1.6818181818181819, std: 1.634468599669564 | fta, mean: 0.9545454545454546, std: 1.3643937290730577 | 2fgp: (12, 16) | 3fgp: (8, 23) | ftp: (18, 5) | ast, mean: 0.7727272727272727, std: 0.8491609860122457 | reb, mean: 3.0454545454545454, std: 3.62412713914139 | stl, mean: 0.6363636363636364, std: 0.9791208740244552 | blk, mean: 0.3181818181818182, std: 0.6314747267931728
Markieff Morris (morrima02) | curr_mins, 9.8 | prev_mins, mean: 17.058823529411764, std: 4.8442881858619495 | 2fga, mean: 4.411764705882353, std: 1.784205986835659 | 3fga, mean: 2.2941176470588234, std: 1.3179621472004752 | fta, mean: 0.5294117647058824, std: 0.848365005991527 | 2fgp: (7, 6) | 3fgp: (2, 3) | ftp: (9, 2) | ast, mean: 1.3529411764705883, std: 1.2338927625531195 | reb, mean: 2.6470588235294117, std: 1.1345471483521123 | stl, mean: 0.35294117647058826, std: 0.7624400821656306 | blk, mean: 0.058823529411764705, std: 0.23529411764705885
Seth Curry (curryse01) | curr_mins, 21.9 | prev_mins, mean: 32.859375, std: 5.219755703993722 | 2fga, mean: 5.703125, std: 2.843191909522641 | 3fga, mean: 5.84375, std: 2.2859540541095744 | fta, mean: 1.46875, std: 1.7497209598961774 | 2fgp: (17, 14) | 3fgp: (12, 16) | ftp: (8, 2) | ast, mean: 3.59375, std: 2.4540702796578584 | reb, mean: 3.125, std: 1.948557158514987 | stl, mean: 0.828125, std: 0.8395439145006055 | blk, mean: 0.21875, std: 0.4831132760543846
Kessler Edwards (edwarke02) | curr_mins, 3.7 | prev_mins, mean: 20.041666666666668, std: 11.563156888247352 | 2fga, mean: 2.7291666666666665, std: 2.138336418548047 | 3fga, mean: 2.8333333333333335, std: 1.7598926734952398 | fta, mean: 0.3958333333333333, std: 0.7836767864085011 | 2fgp: (10, 11) | 3fgp: (7, 12) | ftp: (17, 4) | ast, mean: 0.6458333333333334, std: 0.8777239347058706 | reb, mean: 3.5833333333333335, std: 2.2988523706889534 | stl, mean: 0.6041666666666666, std: 0.929596313221796 | blk, mean: 0.5, std: 0.7071067811865476
--- CHI ---
DeMar DeRozan (derozde01) | curr_mins, 34.2 | prev_mins, mean: 35.5921052631579, std: 3.380196317791972 | 2fga, mean: 18.32894736842105, std: 4.360070490421049 | 3fga, mean: 1.868421052631579, std: 1.417392948367919 | fta, mean: 7.802631578947368, std: 3.731162288370833 | 2fgp: (14, 13) | 3fgp: (7, 12) | ftp: (8, 2) | ast, mean: 4.921052631578948, std: 2.193070173684281 | reb, mean: 5.157894736842105, std: 2.3229554200751483 | stl, mean: 0.8947368421052632, std: 0.8519165292757181 | blk, mean: 0.3157894736842105, std: 0.6115236862432764
Zach LaVine (lavinza01) | curr_mins, 33.3 | prev_mins, mean: 34.26865671641791, std: 4.900752575628514 | 2fga, mean: 10.611940298507463, std: 3.3410840312536916 | 3fga, mean: 7.08955223880597, std: 2.800486862169069 | fta, mean: 5.597014925373134, std: 3.368243713895291 | 2fgp: (9, 8) | 3fgp: (8, 12) | ftp: (24, 5) | ast, mean: 4.522388059701493, std: 2.1741919683140467 | reb, mean: 4.597014925373134, std: 2.0808989266806823 | stl, mean: 0.6119402985074627, std: 0.6454253226996911 | blk, mean: 0.34328358208955223, std: 0.5052630113376345
Nikola Vučević (vucevni01) | curr_mins, 31.4 | prev_mins, mean: 32.657534246575345, std: 3.41318626731717 | 2fga, mean: 11.273972602739725, std: 3.057710997984374 | 3fga, mean: 4.534246575342466, std: 1.9799141518736716 | fta, mean: 1.6575342465753424, std: 1.888822044180075 | 2fgp: (16, 14) | 3fgp: (7, 14) | ftp: (20, 7) | ast, mean: 3.232876712328767, std: 1.9690798069580655 | reb, mean: 11.013698630136986, std: 3.7871200272709906 | stl, mean: 0.958904109589041, std: 0.9991552070581079 | blk, mean: 0.9726027397260274, std: 1.0594984952147675
Ayo Dosunmu (dosunay01) | curr_mins, 30.1 | prev_mins, mean: 26.90909090909091, std: 9.76234725098828 | 2fga, mean: 4.532467532467533, std: 2.409852156829756 | 3fga, mean: 2.4155844155844157, std: 1.573734489319596 | fta, mean: 1.0129870129870129, std: 1.4095546546717024 | 2fgp: (17, 12) | 3fgp: (4, 6) | ftp: (18, 9) | ast, mean: 3.324675324675325, std: 3.1926927870135375 | reb, mean: 2.779220779220779, std: 2.177949569636522 | stl, mean: 0.7792207792207793, std: 0.9345236528574556 | blk, mean: 0.37662337662337664, std: 0.6454427864825547
